Country,"No. of mentions of AI in legislative proceedings by country, 2024","Number of AI-related bills passed into law in slect geographic areas, 2024"
Canada,1,
United States,2,4
Mexico,1,
Dominican Republic,1,
El Salvador,1,
Panama,1,
Ecuador,1,
Brazil,1,
Uruguay,1,
South Africa,1,
Zimbawe,1,
Zambia,1,
Madagascar,0,
Tanzania,0,
Kenya,1,
Sierra Leone,0,
Portugal,1,5
Spain,4,
France,1,1
Italy,2,
Switzerland,1,
Belgium,1,5
Netherland,1,
Germany,1,1
Czech Republic,0,
Poland,1,
Ukraine,1,
Moldova,1,
Romania,1,
Serbia,0,
Greece,2,
Russia,1,7
Lithuania,1,
Latvia,1,2
Estonia,1,
Finland,1,
Sweden,1,
Norway,2,
Denmark,1,
Luxembourg,1,
United Kingdom,2,2
Ireland,3,
Armenia,0,
Azerbaijan,0,
Pakistan,1,
Tajikistan,0,
Kyrgyzstan,1,
Kazakhstan,1,
India,1,
Sri Lanka,0,
Vietnam,0,
Bhutan,0,
China,1,
South Korea,1,2
Japan,1,
Malaysia,1,
Philippines,1,
Papua New Guinea,0,
Australia,3,1
New Zealand,1,
Isreal,0,
Saudi Aradia,0,
Yemen,0,
UAE,1,
Iraq,0,
Turkey,0,
Hong Kong,1,2
Austria,,1
Bahamas,,1
Barbados,,1
China,,1
